date_time,bike_count,place
2020-06-30 00:47:47,6,"Pembridge Villas, Notting Hill"
2020-06-30 00:12:43,4,"Wellington Street , Strand"
2020-06-29 23:12:35,20,"Risinghill Street, Angel"
2020-06-29 23:51:40,4,"Bank of England Museum, Bank"
2020-06-29 22:13:30,21,"Craven Street, Strand"
2020-06-29 20:44:08,3,"London Zoo Car Park, The Regent's Park"
2020-06-29 22:41:33,6,"Goswell Road (City Uni), Finsbury"
2020-06-29 23:03:35,7,"Flood Street, Chelsea"
2020-06-30 01:05:48,14,"Lower Marsh, Waterloo"
2020-06-29 22:37:31,0,"Grosvenor Square, Mayfair"
2020-06-29 17:56:41,0,"St. George Street, Mayfair"
2020-06-29 21:27:18,4,"Queen's Gate, Kensington Gardens"
2020-06-29 20:59:12,17,"Macclesfield Rd, St Lukes"
2020-06-29 21:15:13,10,"Vauxhall Street, Vauxhall"
2020-06-29 22:17:30,9,"Greycoat Street , Westminster"
2020-06-29 23:24:38,0,"Northumberland Avenue, Strand"
2020-06-30 01:05:48,12,"South Kensington Station, South Kensington"
2020-06-29 21:28:19,7,"Howland Street, Fitzrovia"
2020-06-29 22:19:30,0,"High Holborn , Covent Garden"
2020-06-29 19:34:00,3,"Butler Place, Westminster"
2020-06-30 00:47:47,3,"Howick Place, Westminster"
2020-06-29 20:31:08,40,"Waterloo Station 2, Waterloo"
2020-06-29 22:34:32,11,"Royal College Street, Camden Town"
2020-06-29 19:56:04,7,"Lord's, St. John's Wood"
2020-06-29 23:24:38,0,"Alfred Place, Bloomsbury"
2020-06-29 20:57:10,9,"City Road, Angel"
2020-06-29 20:49:10,4,"Millennium Hotel, Mayfair"
2020-06-30 00:35:46,7,"Harrowby Street, Marylebone"
2020-06-29 23:57:40,3,"Harriet Street, Knightsbridge"
2020-06-29 20:10:05,8,"Paddington Green, Paddington"
2020-06-29 23:51:40,8,"King Edward Walk, Waterloo"
2020-06-29 20:50:10,4,"Sardinia Street, Holborn"
2020-06-29 16:25:17,0,"Prince Consort Road, Knightsbridge"
2020-06-29 22:12:29,25,"Waterloo Station 1, Waterloo"
2020-06-29 21:57:23,9,"Kensington Town Hall, Kensington"
2020-06-29 22:13:30,6,"Millbank Tower, Pimlico"
2020-06-29 22:46:34,9,"Waterloo Bridge, South Bank"
2020-06-29 22:32:31,19,"Turquoise Island, Notting Hill"
2020-06-30 00:30:43,4,"Stanhope Gate, Mayfair"
2020-06-29 21:51:23,1,"Charlotte Street, Fitzrovia"
2020-06-29 19:29:59,0,"Farm Street, Mayfair"
2020-06-29 23:39:39,7,"Frith Street, Soho"
2020-06-30 02:55:58,8,"Marloes Road, Kensington"
2020-06-29 21:42:22,0,"Moor Street, Soho"
2020-06-30 02:16:56,9,"Fire Brigade Pier, Vauxhall"
2020-06-29 20:39:09,1,"Southampton Street, Strand"
2020-06-30 00:26:44,4,"Upper Grosvenor Street, Mayfair"
2020-06-29 23:32:39,1,"Buxton Street 1, Shoreditch"
2020-06-29 22:17:30,2,"Imperial College, Knightsbridge"
2020-06-30 01:10:49,6,"Snow Hill, Farringdon"
2020-06-29 21:27:18,16,"Aberdeen Place, St. John's Wood"
2020-06-29 22:47:34,2,"Cadogan Gardens, Chelsea"
2020-06-29 22:32:31,3,"Shouldham Street, Marylebone"
2020-06-29 21:03:12,15,"Devonshire Terrace, Bayswater"
2020-06-29 21:28:19,0,"Holland Park, Kensington"
2020-06-29 22:02:26,4,"Brick Lane Market, Shoreditch"
2020-06-29 19:40:01,0,"George Street, Marylebone"
2020-06-30 00:56:49,1,"Columbia Road, Shoreditch"
2020-06-30 00:35:46,7,"Penfold Street, Marylebone"
2020-06-29 21:31:18,0,"George Place Mews, Marylebone"
2020-06-29 21:22:14,8,"Palace Gate, Kensington Gardens"
2020-06-29 22:07:29,9,"Gloucester Road Station, South Kensington"
2020-06-29 23:44:40,14,"Strata, Elephant & Castle"
2020-06-30 00:56:49,41,"Edgware Road Station, Marylebone"
2020-06-29 22:31:32,31,"Walworth Road, Elephant & Castle"
2020-06-29 21:10:13,15,"Cleaver Street, Kennington"
2020-06-30 03:19:04,2,"Chelsea Bridge, Pimlico"
2020-06-29 21:03:12,14,"Southwark Station 1, Southwark"
2020-06-29 20:28:07,3,"Southwark Station 2, Southwark"
2020-06-30 00:02:42,3,"Eaton Square (South), Belgravia"
2020-06-29 21:34:19,7,"Ebury Bridge, Pimlico"
2020-06-30 00:56:49,8,"Harrington Square 2, Camden Town"
2020-06-29 23:08:36,9,"Vincent Street, Pimlico"
2020-06-29 20:18:06,1,"Cheapside, Bank"
2020-06-29 20:57:10,0,"Exhibition Road, Knightsbridge"
2020-06-29 19:28:00,1,"South Parade, Chelsea"
2020-06-30 02:07:50,6,"Crinan Street, King's Cross"
2020-06-30 00:19:44,0,"Exhibition Road Museums, South Kensington"
2020-06-29 23:00:36,2,"Wren Street, Holborn"
2020-06-29 21:39:21,18,"Kennington Station, Kennington"
2020-06-29 20:44:08,10,"Red Lion Street, Holborn"
2020-06-29 22:47:34,8,"Vauxhall Walk, Vauxhall"
2020-06-29 23:24:38,5,"Killick Street, King's Cross"
2020-06-30 00:07:42,29,"Kennington Oval, Oval"
2020-06-29 23:26:39,21,"Sail Street, Vauxhall"
2020-06-29 21:33:19,8,"Walmer Road, Avondale"
2020-06-30 03:11:02,7,"Philpot Street, Whitechapel"
2020-06-29 22:34:32,12,"Bethnal Green Garden, Bethnal Green"
2020-06-29 20:17:04,11,"Cheshire Street, Bethnal Green"
2020-06-29 21:49:23,7,"York Hall, Bethnal Green"
2020-06-29 23:45:39,16,"Jubilee Crescent, Cubitt Town"
2020-06-29 23:50:40,19,"Fisherman's Walk West, Canary Wharf"
2020-06-29 22:20:30,16,"Shadwell Station, Shadwell"
2020-06-29 23:46:41,19,"Jubilee Street, Stepney"
2020-06-29 22:32:31,14,"Hermitage Court, Wapping"
2020-06-29 21:38:20,10,"St. Katharine's Way, Tower"
2020-06-29 22:45:33,14,"Garnet Street, Shadwell"
2020-06-29 22:18:30,19,"Napier Avenue, Millwall"
2020-06-30 00:43:47,5,"East Ferry Road, Cubitt Town"
2020-06-29 20:44:08,32,"Parkway, Camden Town"
2020-06-30 03:13:02,11,"Castlehaven Road, Camden Town"
2020-06-30 00:26:44,8,"Wapping Lane, Wapping"
2020-06-29 21:09:13,15,"Gunmakers Lane, Old Ford"
2020-06-29 23:31:39,26,"Burdett Road, Mile End"
2020-06-30 00:59:49,18,"Aston Street, Stepney"
2020-06-29 22:42:33,7,"Bonny Street, Camden Town"
2020-06-29 21:46:22,18,"Thurtle Road, Haggerston"
2020-06-29 22:45:33,8,"St. Mary & St. Michael Church, Stepney"
2020-06-30 00:56:49,16,"Pitfield Street North,Hoxton"
2020-06-30 03:09:03,15,"Whiston Road, Haggerston"
2020-06-29 21:59:24,5,"Southern Grove, Bow"
2020-06-29 21:37:20,7,"Cantrell Road, Bow"
2020-06-29 21:25:14,12,"Lindfield Street, Poplar"
2020-06-30 00:01:42,10,"Mostyn Grove, Bow"
2020-06-30 01:10:49,13,"Hewison Street, Old Ford"
2020-06-30 03:19:04,9,"Malmesbury Road, Bow"
2020-06-30 00:57:48,13,"Millharbour, Millwall"
2020-06-29 22:02:26,15,"Lightermans Road, Millwall"
2020-06-29 21:38:20,14,"Stebondale Street, Cubitt Town"
2020-06-29 23:22:37,27,"Spindrift Avenue, Millwall"
2020-06-30 00:18:43,15,"Stepney Green Station, Stepney"
2020-06-30 03:27:04,6,"Pott Street, Bethnal Green"
2020-06-29 23:06:36,19,"Flamborough Street, Limehouse"
2020-06-30 01:08:49,8,"Saunders Ness Road, Cubitt Town"
2020-06-30 03:25:04,19,"Albert Gardens, Stepney"
2020-06-29 22:29:32,20,"Bromley High Street, Bow"
2020-06-30 00:43:47,8,"Old Ford Road, Bethnal Green"
2020-06-30 03:26:04,28,"Granby Street, Shoreditch"
2020-06-30 00:19:44,8,"Canton Street, Poplar"
